ANNO;COD_ATENEO;NOME_ATENEO;Reg_ATENEO;AREA_GEO;GENERE;COD_QUALIFICA;DESC_QUALIFICA;N_PERS
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;371
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;392
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;239
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;473
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;581
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;1284
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;773
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;28
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;17
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;1170
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;21
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;694
2015;01501;Milano - Università degli studi;Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;7
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);213
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);679
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;145
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;279
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;305
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;530
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;357
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;789
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;0
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;0
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;650
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;22
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;457
2015;01502;Milano - Politecnico;Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;77
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);44
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);157
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;34
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;62
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;24
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;25
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;138
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;190
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;14
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;4
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;0
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;0
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;336
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;18
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;133
2015;01503;"Milano - Università commerciale ""Luigi Bocconi""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;12
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);182
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);453
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;324
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;408
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;128
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;4AR;Titolare di assegno di ricerca;78
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;995
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;1199
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;858
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;606
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;53
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;7CL;Collaboratori linguistici;13
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;541
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;F;7TA;Personale tecnico-amministrativo;21
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;519
2015;01504;"Milano - Università Cattolica del ""Sacro Cuore""";Lombardia;NORD-OVEST;M;7TA;Personale tecnico-amministrativo;6
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;F;1PO e 2PA;Professore I/II fascia (ordinario/associato);18
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;M;1PO e 2PA;Professore I/II fascia (ordinario/associato);36
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;F;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;21
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;M;3RU e 3RTD;Ricercatore a tempo indeterminato/determinato;22
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;F;4AR;Titolare di assegno di ricerca;5
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;F;5PC;Personale docente a contratto;94
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;M;5PC;Personale docente a contratto;153
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;F;6CR;Collaboratori in attività di ricerca;0
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;M;6CR;Collaboratori in attività di ricerca;0
2015;01505;Milano - Libera Università di Lingue e Comunicazione (IULM);Lombardia;NORD-OVEST;F;7CL;Collaboratori linguistici;0
